IMG_0001.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0002.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0003.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0004.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0005.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0006.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0007.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0008.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0009.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0010.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0011.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0012.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0013.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0014.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0015.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0016.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0017.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0018.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0019.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0020.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0021.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0022.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0023.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0024.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0025.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0026.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0027.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0028.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0029.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0030.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0031.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0032.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0033.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0034.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0035.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0036.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0037.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0038.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0039.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0040.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0041.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0042.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0043.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0044.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0045.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0046.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0047.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0048.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0049.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0050.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0051.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0052.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0053.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0054.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0055.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0056.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0057.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0058.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0059.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0060.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0061.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0062.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0063.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0064.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0065.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0066.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0067.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0068.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0069.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0070.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0071.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0072.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0073.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0074.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0075.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0076.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0077.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0078.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0079.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0080.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0081.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0082.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0083.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0084.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0085.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0086.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0087.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0088.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0089.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0090.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0091.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0092.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0093.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0094.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0095.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0096.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0097.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0098.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0099.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0100.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0101.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0102.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0103.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0104.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0105.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0106.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0107.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0108.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0109.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0110.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0111.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0112.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0113.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0114.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0115.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0116.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0117.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0118.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0119.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0120.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0121.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0122.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0123.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0124.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0125.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0126.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0127.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0128.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274
IMG_0129.JPG_CAM08C_R2_R2A_07272017_08152017,41.801757,-72.684274